Date,Open,High,Low,Close,Volume,Adj Close
2006-08-28,15953.080078,16207.410156,15745.009766,16134.25,94600,16134.25
2006-08-21,16104.50,16244.839844,15874.629883,15938.660156,91700,15938.660156
2006-08-14,15550.959961,16204.599609,15549.669922,16105.980469,114300,16105.980469
2006-08-07,15494.469727,15690.860352,15154.05957,15565.019531,102000,15565.019531
2006-07-31,15462.389648,15580.910156,15287.80957,15499.179688,94800,15499.179688
2006-07-24,14700.580078,15351.790039,14560.669922,15342.870117,103000,15342.870117
2006-07-18,14714.179688,14962.129883,14437.240234,14821.259766,110600,14821.259766
2006-07-10,15149.910156,15555.429688,14815.900391,14845.240234,110100,14845.240234
2006-07-03,15573.349609,15710.389648,15276.150391,15307.610352,93600,15307.610352
2006-06-26,15080.230469,15521.219727,14824.799805,15505.179688,96000,15505.179688
2006-06-19,14815.860352,15138.469727,14482.959961,15124.040039,96000,15124.040039
2006-06-12,14685.459961,14976.669922,14045.530273,14879.339844,124600,14879.339844
2006-06-05,15719.30957,15784.950195,14389.30957,14750.839844,139700,14750.839844
2006-05-29,16111.540039,16111.540039,15266.969727,15789.30957,108200,15789.30957
2006-05-22,16254.55957,16268.509766,15508.509766,15970.759766,121200,15970.759766
2006-05-15,16395.880859,16596.480469,15914.389648,16155.450195,131600,16155.450195
2006-05-08,17334.189453,17375.25,16422.490234,16601.779297,121400,16601.779297
2006-05-01,16929.830078,17188.539062,16868.689453,17153.769531,84400,17153.769531
2006-04-24,17245.619141,17245.619141,16750.50,16906.230469,107000,16906.230469
2006-04-17,17233.730469,17479.730469,16945.300781,17403.960938,97200,17403.960938
2006-04-10,17455.029297,17489.609375,17068.960938,17233.820312,104700,17233.820312
2006-04-03,17127.609375,17563.369141,17105.50,17563.369141,120000,17563.369141
2006-03-27,16599.919922,17125.640625,16463.949219,17059.660156,107600,17059.660156
2006-03-20,16299.349609,16667.130859,16299.349609,16560.869141,101100,16560.869141
2006-03-13,16264.589844,16410.289062,16032.549805,16339.730469,93400,16339.730469
2006-03-06,15668.629883,16264.889648,15553.139648,16115.629883,122100,16115.629883
2006-02-27,16156.150391,16290.150391,15658.639648,15663.339844,135100,15663.339844
2006-02-20,15620.580078,16118.110352,15389.580078,16101.910156,129000,16101.910156
2006-02-13,16191.929688,16312.740234,15691.860352,15713.450195,130800,15713.450195
